"relative_path","bytes","sha256"
".gitignore","309","611f3ec942c36782c5759680b9d6eb69e19962f60ee31f01d24c173619488154"
"audits/document_structure_audit.csv","1037","78f1abb9bf88d5631dc9de5afae9970459cadbb909ef580fc2b55272cae1cdaa"
"audits/document_structure_audit.md","905","20d57dd3b97741e251e02ebd44cdd7399f3d3eee34f0f9640ad7d80c4c459e94"
"audits/final_docx_qa_summary.md","816","82962389ce489f2479c141afb46db96c518a29424003df31d743d368cee6e259"
"audits/pre_post_r461_result_comparison.csv","26075","6090586096eca63c46802a3157f136ddaafd75ae9667af47068ac3d480f529b5"
"audits/pre_post_r461_result_summary.csv","191","76df85830dc784d447082b0de0842505ccc3db3418688328920bec2e6dbcdf10"
"audits/reference_audit/all_reference_verification.csv","26702","aa55f119f5c52d8a566f5e1d156bdc7cb093ac206db6caafbb8c6e9ae817100c"
"audits/reference_audit/final_42_reference_verification.csv","18229","36173543f55c7519765b6d51c76ab027ca31392a69d1d2c17e67671a2f9f8781"
"audits/reference_audit/final_manuscript_citation_sequence.txt","174","d776c43e4bf0c56790e7ee979f860674d01cd805bef85adbf1edc10352af67fe"
"audits/reference_audit/final_manuscript_reference_summary.csv","206","f36d1dbd7de629fd7e4cebcb72d7872392f05b0f7861ed862053b78dd50d517b"
"audits/reference_audit/final_manuscript_reference_verification.csv","16714","2895fbf32aad7efc5d4ce328e5c39c9b7ae491e6a733320f265c54d670a42a7a"
"audits/reference_audit/final_reference_check_sessionInfo.txt","665","d8127803338c4064b360f0c200bc5437f07874ccdea99fc128fbd8077804a0a5"
"audits/reference_audit/reference_audit_summary.md","860","c8a4fdfc4be0f5b2bf0595cbc5d1dba87e3e08f7af1b5c5cfcb9adf3189f6983"
"audits/reference_audit/reference_verification_summary.csv","186","fddf3c44d9bb29141d0d4f2a8ade45549c2d1ef26c1179bd665c9b35ebc57b34"
"audits/verified_evidence_ledger_r461.csv","9182","87cedea58c8d65909545125a07e0de169b8059f0b4176e1c6102e307de072638"
"audits/verified_evidence_ledger_r461.md","11724","70ed6592c48d5160672c7240ddde8b0b5af1fd6d4031cc6f0502178d5da5e9fe"
"cellchat_results/cellchat_all_pairs_population_weighted.csv","37919","63779beeb25d5bfc17e81bc119365ac747c378d2bf89d8d3803972b3188d77d3"
"cellchat_results/cellchat_all_pairs_unweighted.csv","37565","5d061451a6e16c53cd61257d2ed888f7b51ee6c661879ede5243eea72ff2a53f"
"cellchat_results/cellchat_FAPhigh_to_epithelial_population_weighted.csv","14073","2832b296d0c699476612e16de3855de3914f81cb28532ff9374926ac81f69013"
"cellchat_results/cellchat_FAPhigh_to_epithelial_significant_excluding_SMC20.csv","15114","baaf8881fe6970e37b6955bde9bf86cdef846ff91c10531a36e6eb6717a77ec6"
"cellchat_results/cellchat_FAPhigh_to_epithelial_significant_population_weighted.csv","13294","e13f42d4fcd6c242982ef466547edc4f08fc9fa6bd098b20b257456de763d010"
"cellchat_results/cellchat_FAPhigh_to_epithelial_significant_unweighted.csv","13151","085ab0426a414272fcccb190c7999c9ad6621add5da4165838b15d3766189809"
"cellchat_results/cellchat_FAPhigh_to_epithelial_unweighted.csv","13922","193e722b6047c15ea04bc494e16c47b61a865a96188c941fb85397bafc523aa4"
"cellchat_results/cellchat_object_excluding_SMC20.rds","6949036","df657a8d27bca061c52e80435fedaa42151c3ce839e0a82bbcd081bd2a810c68"
"cellchat_results/cellchat_object_population_weighted.rds","7199760","2cd311d8e85eb93e0574c15291ee9f28cf99fafb441a022393408d50a065eca2"
"cellchat_results/cellchat_object_unweighted.rds","7194992","fc11a3d562dd4bb83ebd2c7c9deeedb0e8e621bbb47f50525f681c69edb66aeb"
"cellchat_results/cellchat_reanalysis_summary.csv","273","ee85ed664a232c0d44061d653ea2d4bfa3f9ddd4f1b6f446c514d785c0799370"
"cellchat_results/sessionInfo.txt","3285","09eab6841fb4ac6a380a928f2cdb3a20dd54cb4702ff5b3342c9650f5f4a7c11"
"cellchat_results/sessionInfo_excluding_SMC20.txt","3285","09eab6841fb4ac6a380a928f2cdb3a20dd54cb4702ff5b3342c9650f5f4a7c11"
"CHANGELOG.md","1007","eec3ea074035451e0bf35f0d78ed1e751b5a547570ac42a63026dc7d0e491ebb"
"DATA_AVAILABILITY.md","1723","8358126ea88a7b1090f92ea12c70a602ace7c5766b8781e0471f108651dfe052"
"DATA_LICENSE.md","400","fd6a519875daa3031f1a2b269ada74469ae1997eeb0fe60ab3d4360db95f67a6"
"figures/figure_manifest.csv","1342","c8b8384d8c18cc6929a8bed13d60933fe02292801bb673d94e36c2c4ab53f3c3"
"figures/figure_sessionInfo.txt","1392","e1f0bc39cdf2c07d3681cc9c2b1ba5d80abb6343e4fadf48586fcd3139e644f8"
"figures/main/Figure_01.png","238167","b703ad48aeba20a60049e3e8d2336685a66956f6a060bc3a57dee74686a3fdd2"
"figures/main/Figure_01.tiff","690796","8ecfea2a937e7f43c5c4180f9615aca2d2b2bcad52c4009ed2b0ed49d0b421ec"
"figures/main/Figure_02.png","313889","f990267b5a4939324a50ff4a1b3ed288b72a18a6866f02e18581fe461496f3cc"
"figures/main/Figure_02.tiff","835108","022a5964c65a2a23ff230e38f29c2cdda74e7eb0852337186960e3159c3dd4c2"
"figures/main/Figure_03.png","198473","8b68e35822520ea462c577ec87bea7e8051fa7f807ff559fa848b91319531954"
"figures/main/Figure_03.tiff","566916","84b479a172bc3fdb171fcbbffe88ee58dfb721fb17a84b31e9ccdddcb8bc4f61"
"figures/main/Figure_04.png","183641","62d7d073b0689534613c2b18582bf1cdf2b67bb799e1a88d476c8e9601bb52b6"
"figures/main/Figure_04.tiff","588778","001f37e5510318bcaec8bfe3bbfa29e42b0ac91f9fb0bb5be88a65afb96063d1"
"figures/main/Figure_05.png","200635","7c6138ef4edf7fcabe4178c0f67c61c39e5fdd2293e1f49c6fc96a2aa357d1f0"
"figures/main/Figure_05.tiff","601044","bc2aeaf329f4e9df68e8378f97e0561ae29c409cd4281665734e38e8ced9e7e8"
