"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A1","SDC4",0.332958419681611,0,"COL1A1_SDC4","COL1A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A2","SDC4",0.325995043143635,0,"COL1A2_SDC4","COL1A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A1","CD44",0.325865418503701,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A2","CD44",0.318979446033135,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A2","SDC4",0.269227951717586,0,"COL6A2_SDC4","COL6A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A2","CD44",0.262957394064873,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","FN1","SDC4",0.259737755132615,0,"FN1_SDC4","FN1 - SDC4","FN1","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A3","SDC4",0.254736989310322,0,"COL6A3_SDC4","COL6A3 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","FN1","CD44",0.253611523224642,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A1","SDC4",0.250558596864831,0,"COL6A1_SDC4","COL6A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A3","CD44",0.248689081866619,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","MDK","NCL",0.247374495576119,0.28,"MDK_NCL","MDK - NCL","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A1","CD44",0.244577336013867,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","CD99","CD99",0.237528720648374,0,"CD99_CD99","CD99 - CD99","CD99","Cell-Cell Contact","KEGG: hsa04514"
"FAP_high_myofibroblast","Tumor_epithelial","THBS2","SDC4",0.223669982038306,0,"THBS2_SDC4","THBS2 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THBS2","CD47",0.214542330822965,0,"THBS2_CD47","THBS2 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A1","ITGA2_ITGB1",0.190046579444525,0,"COL1A1_ITGA2_ITGB1","COL1A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A2","ITGA2_ITGB1",0.185241998890722,0,"COL1A2_ITGA2_ITGB1","COL1A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","MDK","SDC4",0.184900859552248,0.28,"MDK_SDC4","MDK - SDC4","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","Tumor_epithelial","MDK","ITGA6_ITGB1",0.174128196018993,0.32,"MDK_ITGA6_ITGB1","MDK - (ITGA6+ITGB1)","MK","Secreted Signaling","PMID: 28356350"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A1","ITGA3_ITGB1",0.170236651789846,0,"COL1A1_ITGA3_ITGB1","COL1A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THY1","ADGRE5",0.169366049841086,0,"THY1_ADGRE5","THY1 - ADGRE5","ADGRE","Cell-Cell Contact","PMID: 31462748"
"FAP_high_myofibroblast","Tumor_epithelial","PLAU","PLAUR",0.166743240549637,0,"PLAU_PLAUR","PLAU - PLAUR","PLAU","Secreted Signaling","uniprot"
"FAP_high_myofibroblast","Tumor_epithelial","COL1A2","ITGA3_ITGB1",0.165830349973795,0,"COL1A2_ITGA3_ITGB1","COL1A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A2","ITGA2_ITGB1",0.147616867552498,0,"COL6A2_ITGA2_ITGB1","COL6A2 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A3","ITGA2_ITGB1",0.138431568957957,0,"COL6A3_ITGA2_ITGB1","COL6A3 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A1","ITGA2_ITGB1",0.135813251645009,0,"COL6A1_ITGA2_ITGB1","COL6A1 - (ITGA2+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A2","ITGA3_ITGB1",0.131511575513856,0,"COL6A2_ITGA3_ITGB1","COL6A2 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","FN1","ITGA3_ITGB1",0.126038572240635,0,"FN1_ITGA3_ITGB1","FN1 - (ITGA3+ITGB1)","FN1","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A3","ITGA3_ITGB1",0.123183586033323,0,"COL6A3_ITGA3_ITGB1","COL6A3 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMA4","CD44",0.120838440278586,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL6A1","ITGA3_ITGB1",0.120813230340341,0,"COL6A1_ITGA3_ITGB1","COL6A1 - (ITGA3+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL4A2","SDC4",0.120580802664957,0,"COL4A2_SDC4","COL4A2 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL4A2","CD44",0.117217038518785,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMA4","ITGA6_ITGB1",0.116545142197063,0,"LAMA4_ITGA6_ITGB1","LAMA4 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMC1","CD44",0.115798483291636,0,"LAMC1_CD44","LAMC1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","ITGAV_ITGB1","ADGRE5",0.113348793822854,0,"ITGAV_ITGB1_ADGRE5","(ITGAV+ITGB1) - ADGRE5","ADGRE","Cell-Cell Contact","PMID: 31462748"
"FAP_high_myofibroblast","Tumor_epithelial","LAMC1","ITGA6_ITGB1",0.111661508067192,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THBS1","SDC4",0.111167043094015,0,"THBS1_SDC4","THBS1 - SDC4","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL3A1","ADGRG1",0.108801542611417,0,"COL3A1_ADGRG1","COL3A1 - ADGRG1","ADGRG","Cell-Cell Contact","PMID: 31462748;UniProtKB"
"FAP_high_myofibroblast","Tumor_epithelial","LAMA4","ITGA6_ITGB4",0.107585079530602,0,"LAMA4_ITGA6_ITGB4","LAMA4 - (ITGA6+ITGB4)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THBS1","CD47",0.10600358830256,0,"THBS1_CD47","THBS1 - CD47","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","THBS2","ITGA3_ITGB1",0.105881074043586,0,"THBS2_ITGA3_ITGB1","THBS2 - (ITGA3+ITGB1)","THBS","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMC1","ITGA6_ITGB4",0.103033114482842,0,"LAMC1_ITGA6_ITGB4","LAMC1 - (ITGA6+ITGB4)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL4A1","SDC4",0.102281741214289,0,"COL4A1_SDC4","COL4A1 - SDC4","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","COL4A1","CD44",0.0993707722581412,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB1","CD44",0.0991274362261023,0,"LAMB1_CD44","LAMB1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB1","ITGA6_ITGB1",0.0955217029932079,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB2","CD44",0.0910178440541385,0,"LAMB2_CD44","LAMB2 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB1","ITGA6_ITGB4",0.088016906983395,0,"LAMB1_ITGA6_ITGB4","LAMB1 - (ITGA6+ITGB4)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB2","ITGA6_ITGB1",0.0876783853552053,0,"LAMB2_ITGA6_ITGB1","LAMB2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"FAP_high_myofibroblast","Tumor_epithelial","LAMB2","ITGA6_ITGB4",0.0807348059144314,0,"LAMB2_ITGA6_ITGB4","LAMB2 - (ITGA6+ITGB4)","LAMININ","ECM-Receptor","KEGG: hsa04512"
